lat, lon
6.75,-49.5
6.75,-49.25
6.5,-49.75
6.5,-49.5
6.5,-49.25
6.5,-49.0
6.25,-50.0
6.25,-49.75
6.25,-49.5
6.25,-49.25
6.25,-49.0
6.25,-48.75
6.0,-50.25
6.0,-50.0
6.0,-49.75
6.0,-49.5
6.0,-49.25
6.0,-49.0
6.0,-48.75
6.0,-48.5
5.75,-50.5
5.75,-50.25
5.75,-50.0
5.75,-49.75
5.75,-49.5
5.75,-49.25
5.75,-49.0
5.75,-48.75
5.75,-48.5
5.5,-50.75
5.5,-50.5
5.5,-50.25
5.5,-50.0
5.5,-49.75
5.5,-49.5
5.5,-49.25
5.5,-49.0
5.5,-48.75
5.5,-48.5
5.5,-48.25
5.25,-50.75
5.25,-50.5
5.25,-50.25
5.25,-50.0
5.25,-49.75
5.25,-49.5
5.25,-49.25
5.25,-49.0
5.25,-48.75
5.25,-48.5
5.25,-48.25
5.0,-51.0
5.0,-50.75
5.0,-50.5
5.0,-50.25
5.0,-50.0
5.0,-49.75
5.0,-49.5
5.0,-49.25
5.0,-49.0
5.0,-48.75
5.0,-48.5
5.0,-48.25
5.0,-48.0
4.75,-51.25
4.75,-51.0
4.75,-50.75
4.75,-50.5
4.75,-50.25
4.75,-50.0
4.75,-49.75
4.75,-49.5
4.75,-49.25
4.75,-49.0
4.75,-48.75
4.75,-48.5
4.75,-48.25
4.75,-48.0
4.5,-51.5
4.5,-51.25
4.5,-51.0
4.5,-50.75
4.5,-50.5
4.5,-50.25
4.5,-50.0
4.5,-49.75
4.5,-49.5
4.5,-49.25
4.5,-49.0
4.5,-48.75
4.5,-48.5
4.5,-48.25
4.5,-48.0
4.25,-51.5
4.25,-51.25
4.25,-51.0
4.25,-50.75
4.25,-50.5
4.25,-50.25
4.25,-50.0
4.25,-49.75
4.25,-49.5
4.25,-49.25
4.25,-49.0
4.25,-48.75
4.25,-48.5
4.25,-48.25
4.25,-48.0
4.0,-51.75
4.0,-51.5
4.0,-51.25
4.0,-51.0
4.0,-50.75
4.0,-50.5
4.0,-50.25
4.0,-50.0
4.0,-49.75
4.0,-49.5
4.0,-49.25
4.0,-49.0
4.0,-48.75
4.0,-48.5
4.0,-48.25
4.0,-48.0
4.0,-47.75
4.0,-30.5
4.0,-30.25
4.0,-30.0
4.0,-29.75
4.0,-29.5
4.0,-29.25
4.0,-29.0
4.0,-28.75
4.0,-28.5
4.0,-28.25
3.75,-51.75
3.75,-51.5
3.75,-51.25
3.75,-51.0
3.75,-50.75
3.75,-50.5
3.75,-50.25
3.75,-50.0
3.75,-49.75
3.75,-49.5
3.75,-49.25
3.75,-49.0
3.75,-48.75
3.75,-48.5
3.75,-48.25
3.75,-48.0
3.75,-47.75
3.75,-47.5
3.75,-31.0
3.75,-30.75
3.75,-30.5
3.75,-30.25
3.75,-30.0
3.75,-29.75
3.75,-29.5
3.75,-29.25
3.75,-29.0
3.75,-28.75
3.75,-28.5
3.75,-28.25
3.75,-28.0
3.75,-27.75
3.5,-52.0
3.5,-51.75
3.5,-51.5
3.5,-51.25
3.5,-51.0
3.5,-50.75
3.5,-50.5
3.5,-50.25
3.5,-50.0
3.5,-49.75
3.5,-49.5
3.5,-49.25
3.5,-49.0
3.5,-48.75
3.5,-48.5
3.5,-48.25
3.5,-48.0
3.5,-47.75
3.5,-47.5
3.5,-47.25
3.5,-31.25
3.5,-31.0
3.5,-30.75
3.5,-30.5
3.5,-30.25
3.5,-30.0
3.5,-29.75
3.5,-29.5
3.5,-29.25
3.5,-29.0
3.5,-28.75
3.5,-28.5
3.5,-28.25
3.5,-28.0
3.5,-27.75
3.5,-27.5
3.5,-27.25
3.25,-52.0
3.25,-51.75
3.25,-51.5
3.25,-51.25
3.25,-51.0
3.25,-50.75
3.25,-50.5
3.25,-50.25
3.25,-50.0
3.25,-49.75
3.25,-49.5
3.25,-49.25
3.25,-49.0
3.25,-48.75
3.25,-48.5
3.25,-48.25
3.25,-48.0
3.25,-47.75
3.25,-47.5
3.25,-47.25
3.25,-47.0
3.25,-31.5
3.25,-31.25
3.25,-31.0
3.25,-30.75
3.25,-30.5
3.25,-30.25
3.25,-30.0
3.25,-29.75
3.25,-29.5
3.25,-29.25
3.25,-29.0
3.25,-28.75
3.25,-28.5
3.25,-28.25
3.25,-28.0
3.25,-27.75
3.25,-27.5
3.25,-27.25
3.25,-27.0
3.0,-52.25
3.0,-52.0
