X,Y,lat,lon,PROFUNDIDA,CLASSES
-50.75,5.25,5.250000000000000,-50.750000000000000,-100 a -200 m,Faixa
-50.5,5.25,5.250000000000000,-50.500000000000000,-100 a -200 m,Faixa
-50.5,5.0,5.000000000000000,-50.500000000000000,-100 a -200 m,Faixa
-50.25,5.0,5.000000000000000,-50.250000000000000,-100 a -200 m,Faixa
-50.25,4.75,4.750000000000000,-50.250000000000000,-100 a -200 m,Faixa
-50.0,4.5,4.500000000000000,-50.000000000000000,-100 a -200 m,Faixa
-49.75,4.25,4.250000000000000,-49.750000000000000,-100 a -200 m,Faixa
-49.5,4.25,4.250000000000000,-49.500000000000000,-100 a -200 m,Faixa
-49.25,4.25,4.250000000000000,-49.250000000000000,-100 a -200 m,Faixa
-49.25,4.0,4.000000000000000,-49.250000000000000,-100 a -200 m,Faixa
-49,4,4.000000000000000,-49.000000000000000,-100 a -200 m,Faixa
-48.75,4.0,4.000000000000000,-48.750000000000000,-100 a -200 m,Faixa
-48.5,4.0,4.000000000000000,-48.500000000000000,-100 a -200 m,Faixa
-49.0,3.75,3.750000000000000,-49.000000000000000,-100 a -200 m,Faixa
-48.75,3.75,3.750000000000000,-48.750000000000000,-100 a -200 m,Faixa
-48.5,3.75,3.750000000000000,-48.500000000000000,-100 a -200 m,Faixa
-48.25,3.75,3.750000000000000,-48.250000000000000,-100 a -200 m,Faixa
-48.75,3.5,3.500000000000000,-48.750000000000000,-100 a -200 m,Faixa
-48.5,3.5,3.500000000000000,-48.500000000000000,-100 a -200 m,Faixa
-48.25,3.5,3.500000000000000,-48.250000000000000,-100 a -200 m,Faixa
-48.75,3.25,3.250000000000000,-48.750000000000000,-100 a -200 m,Faixa
-48.5,3.25,3.250000000000000,-48.500000000000000,-100 a -200 m,Faixa
-48.25,3.25,3.250000000000000,-48.250000000000000,-100 a -200 m,Faixa
-48.0,3.25,3.250000000000000,-48.000000000000000,-100 a -200 m,Faixa
-48.75,3.0,3.000000000000000,-48.750000000000000,-100 a -200 m,Faixa
-48.5,3.0,3.000000000000000,-48.500000000000000,-100 a -200 m,Faixa
-48.25,3.0,3.000000000000000,-48.250000000000000,-100 a -200 m,Faixa
-48,3,3.000000000000000,-48.000000000000000,-100 a -200 m,Faixa
-47.75,3.0,3.000000000000000,-47.750000000000000,-100 a -200 m,Faixa
-48.25,2.75,2.750000000000000,-48.250000000000000,-100 a -200 m,Faixa
-48.0,2.75,2.750000000000000,-48.000000000000000,-100 a -200 m,Faixa
-47.75,2.75,2.750000000000000,-47.750000000000000,-100 a -200 m,Faixa
-47.5,2.5,2.500000000000000,-47.500000000000000,-100 a -200 m,Faixa
-47.5,2.25,2.250000000000000,-47.500000000000000,-100 a -200 m,Faixa
-47.5,2.0,2.000000000000000,-47.500000000000000,-100 a -200 m,Faixa
-47.25,2.0,2.000000000000000,-47.250000000000000,-100 a -200 m,Faixa
-47.0,1.75,1.750000000000000,-47.000000000000000,-100 a -200 m,Faixa
-46.75,1.5,1.500000000000000,-46.750000000000000,-100 a -200 m,Faixa
-46.5,1.25,1.250000000000000,-46.500000000000000,-100 a -200 m,Faixa
-45.75,0.75,0.750000000000000,-45.750000000000000,-100 a -200 m,Faixa
-44.25,0.0,0.000000000000000,-44.250000000000000,-100 a -200 m,Faixa
-43.5,-1.0,-1.000000000000000,-43.500000000000000,-100 a -200 m,Faixa
-43.25,-1.5,-1.500000000000000,-43.250000000000000,-100 a -200 m,Faixa
-42.5,-2.0,-2.000000000000000,-42.500000000000000,-100 a -200 m,Faixa
-42.25,-2.0,-2.000000000000000,-42.250000000000000,-100 a -200 m,Faixa
-41,-2,-2.000000000000000,-41.000000000000000,-100 a -200 m,Faixa
-39.25,-2.5,-2.500000000000000,-39.250000000000000,-100 a -200 m,Faixa
-38.75,-3.0,-3.000000000000000,-38.750000000000000,-100 a -200 m,Faixa
-38.25,-3.25,-3.250000000000000,-38.250000000000000,-100 a -200 m,Faixa
-38.0,-3.5,-3.500000000000000,-38.000000000000000,-100 a -200 m,Faixa
-36.25,-4.75,-4.750000000000000,-36.250000000000000,-100 a -200 m,Faixa
-35.75,-4.75,-4.750000000000000,-35.750000000000000,-100 a -200 m,Faixa
-35.25,-4.75,-4.750000000000000,-35.250000000000000,-100 a -200 m,Faixa
-35,-5,-5.000000000000000,-35.000000000000000,-100 a -200 m,Faixa
-35.0,-5.75,-5.750000000000000,-35.000000000000000,-100 a -200 m,Faixa
-34.5,-7.0,-7.000000000000000,-34.500000000000000,-100 a -200 m,Faixa
-34.5,-8.0,-8.000000000000000,-34.500000000000000,-100 a -200 m,Faixa
-34.5,-8.25,-8.250000000000000,-34.500000000000000,-100 a -200 m,Faixa
-34.75,-8.75,-8.750000000000000,-34.750000000000000,-100 a -200 m,Faixa
-36.0,-10.5,-10.500000000000000,-36.000000000000000,-100 a -200 m,Faixa
-36.75,-11.0,-11.000000000000000,-36.750000000000000,-100 a -200 m,Faixa
-37.25,-11.75,-11.750000000000000,-37.250000000000000,-100 a -200 m,Faixa
-37.75,-12.5,-12.500000000000000,-37.750000000000000,-100 a -200 m,Faixa
-38.25,-13.0,-13.000000000000000,-38.250000000000000,-100 a -200 m,Faixa
-38.75,-13.75,-13.750000000000000,-38.750000000000000,-100 a -200 m,Faixa
-38.5,-16.5,-16.500000000000000,-38.500000000000000,-100 a -200 m,Faixa
-38.25,-17.5,-17.500000000000000,-38.250000000000000,-100 a -200 m,Faixa
-37.25,-18.0,-18.000000000000000,-37.250000000000000,-100 a -200 m,Faixa
-38.25,-19.5,-19.500000000000000,-38.250000000000000,-100 a -200 m,Faixa
-39.75,-20.0,-20.000000000000000,-39.750000000000000,-100 a -200 m,Faixa
-40.25,-21.25,-21.250000000000000,-40.250000000000000,-100 a -200 m,Faixa
-40.0,-21.75,-21.750000000000000,-40.000000000000000,-100 a -200 m,Faixa
-40,-22,-22.000000000000000,-40.000000000000000,-100 a -200 m,Faixa
-40.25,-22.25,-22.250000000000000,-40.250000000000000,-100 a -200 m,Faixa
-40.0,-22.25,-22.250000000000000,-40.000000000000000,-100 a -200 m,Faixa
-40.5,-22.5,-22.500000000000000,-40.500000000000000,-100 a -200 m,Faixa
-40.25,-22.5,-22.500000000000000,-40.250000000000000,-100 a -200 m,Faixa
-40.75,-22.75,-22.750000000000000,-40.750000000000000,-100 a -200 m,Faixa
-40.5,-22.75,-22.750000000000000,-40.500000000000000,-100 a -200 m,Faixa
-40.75,-23.0,-23.000000000000000,-40.750000000000000,-100 a -200 m,Faixa
-42.5,-23.25,-23.250000000000000,-42.500000000000000,-100 a -200 m,Faixa
-42.25,-23.25,-23.250000000000000,-42.250000000000000,-100 a -200 m,Faixa
-42.0,-23.25,-23.250000000000000,-42.000000000000000,-100 a -200 m,Faixa
-41.75,-23.25,-23.250000000000000,-41.750000000000000,-100 a -200 m,Faixa
-41.5,-23.25,-23.250000000000000,-41.500000000000000,-100 a -200 m,Faixa
-41.0,-23.25,-23.250000000000000,-41.000000000000000,-100 a -200 m,Faixa
-43.5,-23.5,-23.500000000000000,-43.500000000000000,-100 a -200 m,Faixa
-43.25,-23.5,-23.500000000000000,-43.250000000000000,-100 a -200 m,Faixa
-43.0,-23.5,-23.500000000000000,-43.000000000000000,-100 a -200 m,Faixa
-42.75,-23.5,-23.500000000000000,-42.750000000000000,-100 a -200 m,Faixa
-42.5,-23.5,-23.500000000000000,-42.500000000000000,-100 a -200 m,Faixa
-42.25,-23.5,-23.500000000000000,-42.250000000000000,-100 a -200 m,Faixa
-42.0,-23.5,-23.500000000000000,-42.000000000000000,-100 a -200 m,Faixa
-41.75,-23.5,-23.500000000000000,-41.750000000000000,-100 a -200 m,Faixa
-41.5,-23.5,-23.500000000000000,-41.500000000000000,-100 a -200 m,Faixa
-41.25,-23.5,-23.500000000000000,-41.250000000000000,-100 a -200 m,Faixa
-44.0,-23.75,-23.750000000000000,-44.000000000000000,-100 a -200 m,Faixa
-43.75,-23.75,-23.750000000000000,-43.750000000000000,-100 a -200 m,Faixa
-43.5,-23.75,-23.750000000000000,-43.500000000000000,-100 a -200 m,Faixa
-43.25,-23.75,-23.750000000000000,-43.250000000000000,-100 a -200 m,Faixa
-43.0,-23.75,-23.750000000000000,-43.000000000000000,-100 a -200 m,Faixa
-42.75,-23.75,-23.750000000000000,-42.750000000000000,-100 a -200 m,Faixa
-42.5,-23.75,-23.750000000000000,-42.500000000000000,-100 a -200 m,Faixa
-42.25,-23.75,-23.750000000000000,-42.250000000000000,-100 a -200 m,Faixa
-42.0,-23.75,-23.750000000000000,-42.000000000000000,-100 a -200 m,Faixa
-41.75,-23.75,-23.750000000000000,-41.750000000000000,-100 a -200 m,Faixa
-41.5,-23.75,-23.750000000000000,-41.500000000000000,-100 a -200 m,Faixa
-44.5,-24.0,-24.000000000000000,-44.500000000000000,-100 a -200 m,Faixa
-44.25,-24.0,-24.000000000000000,-44.250000000000000,-100 a -200 m,Faixa
-44,-24,-24.000000000000000,-44.000000000000000,-100 a -200 m,Faixa
-43.75,-24.0,-24.000000000000000,-43.750000000000000,-100 a -200 m,Faixa
-43.5,-24.0,-24.000000000000000,-43.500000000000000,-100 a -200 m,Faixa
-43.25,-24.0,-24.000000000000000,-43.250000000000000,-100 a -200 m,Faixa
-43,-24,-24.000000000000000,-43.000000000000000,-100 a -200 m,Faixa
-42.75,-24.0,-24.000000000000000,-42.750000000000000,-100 a -200 m,Faixa
-42.5,-24.0,-24.000000000000000,-42.500000000000000,-100 a -200 m,Faixa
-42.25,-24.0,-24.000000000000000,-42.250000000000000,-100 a -200 m,Faixa
-44.75,-24.25,-24.250000000000000,-44.750000000000000,-100 a -200 m,Faixa
-44.5,-24.25,-24.250000000000000,-44.500000000000000,-100 a -200 m,Faixa
-44.25,-24.25,-24.250000000000000,-44.250000000000000,-100 a -200 m,Faixa
-44.0,-24.25,-24.250000000000000,-44.000000000000000,-100 a -200 m,Faixa
-43.75,-24.25,-24.250000000000000,-43.750000000000000,-100 a -200 m,Faixa
-43.5,-24.25,-24.250000000000000,-43.500000000000000,-100 a -200 m,Faixa
-43.25,-24.25,-24.250000000000000,-43.250000000000000,-100 a -200 m,Faixa
-43.0,-24.25,-24.250000000000000,-43.000000000000000,-100 a -200 m,Faixa
-45.0,-24.5,-24.500000000000000,-45.000000000000000,-100 a -200 m,Faixa
-44.75,-24.5,-24.500000000000000,-44.750000000000000,-100 a -200 m,Faixa
-44.5,-24.5,-24.500000000000000,-44.500000000000000,-100 a -200 m,Faixa
-44.25,-24.5,-24.500000000000000,-44.250000000000000,-100 a -200 m,Faixa
-44.0,-24.5,-24.500000000000000,-44.000000000000000,-100 a -200 m,Faixa
-43.75,-24.5,-24.500000000000000,-43.750000000000000,-100 a -200 m,Faixa
-45.0,-24.75,-24.750000000000000,-45.000000000000000,-100 a -200 m,Faixa
-44.75,-24.75,-24.750000000000000,-44.750000000000000,-100 a -200 m,Faixa
-44.5,-24.75,-24.750000000000000,-44.500000000000000,-100 a -200 m,Faixa
-44.25,-24.75,-24.750000000000000,-44.250000000000000,-100 a -200 m,Faixa
-45.25,-25.0,-25.000000000000000,-45.250000000000000,-100 a -200 m,Faixa
-45,-25,-25.000000000000000,-45.000000000000000,-100 a -200 m,Faixa
-44.75,-25.0,-25.000000000000000,-44.750000000000000,-100 a -200 m,Faixa
-46.0,-25.25,-25.250000000000000,-46.000000000000000,-100 a -200 m,Faixa
-45.75,-25.25,-25.250000000000000,-45.750000000000000,-100 a -200 m,Faixa
-45.5,-25.25,-25.250000000000000,-45.500000000000000,-100 a -200 m,Faixa
-45.25,-25.25,-25.250000000000000,-45.250000000000000,-100 a -200 m,Faixa
-45.0,-25.25,-25.250000000000000,-45.000000000000000,-100 a -200 m,Faixa
-44.75,-25.25,-25.250000000000000,-44.750000000000000,-100 a -200 m,Faixa
-46.25,-25.5,-25.500000000000000,-46.250000000000000,-100 a -200 m,Faixa
-46.0,-25.5,-25.500000000000000,-46.000000000000000,-100 a -200 m,Faixa
-45.75,-25.5,-25.500000000000000,-45.750000000000000,-100 a -200 m,Faixa
-45.5,-25.5,-25.500000000000000,-45.500000000000000,-100 a -200 m,Faixa
-45.25,-25.5,-25.500000000000000,-45.250000000000000,-100 a -200 m,Faixa
-45.0,-25.5,-25.500000000000000,-45.000000000000000,-100 a -200 m,Faixa
-46.75,-25.75,-25.750000000000000,-46.750000000000000,-100 a -200 m,Faixa
-46.5,-25.75,-25.750000000000000,-46.500000000000000,-100 a -200 m,Faixa
-46.25,-25.75,-25.750000000000000,-46.250000000000000,-100 a -200 m,Faixa
-46.0,-25.75,-25.750000000000000,-46.000000000000000,-100 a -200 m,Faixa
