lat,lon
-20.00000,-40.00000
-20.00000,-39.75000
-20.00000,-38.25000
-20.25000,-40.00000
-20.50000,-40.25000
-20.50000,-40.00000
-20.50000,-37.25000
-20.75000,-40.50000
-20.75000,-40.25000
-20.75000,-40.00000
-20.75000,-37.75000
-20.75000,-31.75000
-21.00000,-40.75000
-21.00000,-40.50000
-21.00000,-40.25000
-21.25000,-40.75000
-21.25000,-40.50000
-21.25000,-40.25000
-21.50000,-41.00000
-21.50000,-40.75000
-21.50000,-40.50000
-21.50000,-40.25000
-21.75000,-41.00000
-21.75000,-40.75000
-21.75000,-40.50000
-21.75000,-40.25000
-21.75000,-40.00000
-22.00000,-40.75000
-22.00000,-40.50000
-22.00000,-40.25000
-22.00000,-40.00000
-22.25000,-41.50000
-22.25000,-41.25000
-22.25000,-41.00000
-22.25000,-40.75000
-22.25000,-40.50000
-22.25000,-40.25000
-22.25000,-40.00000
-22.50000,-41.75000
-22.50000,-41.50000
-22.50000,-41.25000
-22.50000,-41.00000
-22.50000,-40.75000
-22.50000,-40.50000
-22.50000,-40.25000
-22.75000,-41.75000
-22.75000,-41.50000
-22.75000,-41.25000
-22.75000,-41.00000
-22.75000,-40.75000
-22.75000,-40.50000
-23.00000,-44.00000
-23.00000,-43.75000
-23.00000,-43.25000
-23.00000,-43.00000
-23.00000,-42.75000
-23.00000,-42.50000
-23.00000,-42.25000
-23.00000,-41.75000
-23.00000,-41.50000
-23.00000,-41.25000
-23.00000,-41.00000
-23.00000,-40.75000
-23.25000,-44.50000
-23.25000,-44.25000
-23.25000,-44.00000
-23.25000,-43.75000
-23.25000,-43.50000
-23.25000,-43.25000
-23.25000,-43.00000
-23.25000,-42.75000
-23.25000,-42.50000
-23.25000,-42.25000
-23.25000,-42.00000
-23.25000,-41.75000
-23.25000,-41.50000
-23.25000,-41.25000
-23.25000,-41.00000
-23.50000,-45.00000
-23.50000,-44.75000
-23.50000,-44.50000
-23.50000,-44.25000
-23.50000,-44.00000
-23.50000,-43.75000
-23.50000,-43.50000
-23.50000,-43.25000
-23.50000,-43.00000
-23.50000,-42.75000
-23.50000,-42.50000
-23.50000,-42.25000
-23.50000,-42.00000
-23.50000,-41.75000
-23.50000,-41.50000
-23.50000,-41.25000
-23.75000,-45.00000
-23.75000,-44.75000
-23.75000,-44.50000
-23.75000,-44.25000
-23.75000,-44.00000
-23.75000,-43.75000
-23.75000,-43.50000
-23.75000,-43.25000
-23.75000,-43.00000
-23.75000,-42.75000
-23.75000,-42.50000
-23.75000,-42.25000
-23.75000,-42.00000
-23.75000,-41.75000
-23.75000,-41.50000
-24.00000,-46.00000
