,lon,lat
0,-52.5,-34.0
1,-52.25,-34.25
2,-52.0,-33.5
3,-52.0,-33.25
4,-51.75,-34.0
5,-51.75,-33.25
6,-51.5,-33.25
7,-51.5,-33.0
8,-51.25,-33.5
9,-51.25,-33.0
10,-51.25,-32.75
11,-51.25,-32.5
12,-51.25,-32.25
13,-51.25,4.75
14,-51.0,-33.25
15,-51.0,-33.0
16,-51.0,-32.5
17,-51.0,-32.25
18,-51.0,-32.0
19,-51.0,4.75
20,-51.0,5.0
21,-50.75,-33.0
22,-50.75,-32.75
23,-50.75,-32.25
24,-50.75,-31.75
25,-50.75,-31.5
26,-50.75,4.5
27,-50.75,4.75
28,-50.5,-31.75
29,-50.5,-31.25
30,-50.5,4.25
31,-50.5,4.5
32,-50.25,-32.0
33,-50.25,-31.75
34,-50.25,-31.5
35,-50.25,-31.25
36,-50.25,4.0
37,-50.0,-31.75
38,-50.0,-31.5
39,-50.0,-31.25
40,-50.0,-31.0
41,-50.0,3.5
42,-50.0,3.75
43,-50.0,4.0
44,-49.75,-31.5
45,-49.75,-31.25
46,-49.75,-31.0
47,-49.75,-30.75
48,-49.75,-30.25
49,-49.75,3.25
50,-49.75,3.5
51,-49.75,4.25
52,-49.5,-31.25
53,-49.5,-31.0
54,-49.5,-30.75
55,-49.5,-30.5
56,-49.5,-30.25
57,-49.5,-30.0
58,-49.5,3.25
59,-49.5,3.5
60,-49.25,-31.0
61,-49.25,-30.75
62,-49.25,-30.5
63,-49.25,-30.25
64,-49.25,-29.75
65,-49.25,-29.5
66,-49.25,2.75
67,-49.25,3.0
68,-49.25,3.25
69,-49.0,-30.75
70,-49.0,-30.5
71,-49.0,-30.25
72,-49.0,-30.0
73,-49.0,2.75
74,-49.0,3.0
75,-49.0,3.25
76,-48.75,-30.5
77,-48.75,-30.25
78,-48.75,-30.0
79,-48.75,-29.75
80,-48.75,-29.5
81,-48.75,-29.0
82,-48.75,-28.75
83,-48.75,2.5
84,-48.75,2.75
85,-48.75,3.0
86,-48.75,3.25
87,-48.5,-30.25
88,-48.5,-30.0
89,-48.5,-29.75
90,-48.5,-29.5
91,-48.5,-29.25
92,-48.5,-29.0
93,-48.5,-28.25
94,-48.5,2.25
95,-48.5,2.75
96,-48.5,3.0
97,-48.25,-30.0
98,-48.25,-29.75
99,-48.25,-29.5
100,-48.25,-29.25
101,-48.25,-29.0
102,-48.25,-28.75
103,-48.25,-28.0
104,-48.25,-27.5
105,-48.25,-27.25
106,-48.25,-26.5
107,-48.25,2.5
108,-48.25,2.75
109,-48.0,-29.5
110,-48.0,-29.25
111,-48.0,-29.0
112,-48.0,-28.75
113,-48.0,-28.5
114,-48.0,-28.25
115,-48.0,-27.5
116,-48.0,-27.0
117,-48.0,-26.75
118,-48.0,-26.5
119,-48.0,-26.25
120,-48.0,1.5
121,-48.0,1.75
122,-48.0,2.0
123,-48.0,2.5
124,-47.75,-29.25
125,-47.75,-29.0
126,-47.75,-28.75
127,-47.75,-28.5
128,-47.75,-28.25
129,-47.75,-28.0
130,-47.75,-27.75
131,-47.75,-27.5
132,-47.75,-27.25
133,-47.75,-26.0
134,-47.75,1.25
135,-47.75,1.5
136,-47.75,1.75
137,-47.75,2.5
138,-47.5,-29.0
139,-47.5,-28.75
140,-47.5,-28.5
141,-47.5,-28.25
142,-47.5,-28.0
143,-47.5,-27.75
144,-47.5,-27.5
145,-47.5,-27.25
146,-47.5,-27.0
147,-47.5,-26.75
148,-47.5,-26.0
149,-47.5,-25.75
150,-47.5,1.0
151,-47.5,1.5
152,-47.5,2.0
153,-47.25,-28.75
154,-47.25,-28.5
155,-47.25,-28.25
156,-47.25,-28.0
157,-47.25,-27.75
158,-47.25,-27.5
159,-47.25,-27.25
160,-47.25,-27.0
161,-47.25,-26.75
162,-47.25,-26.5
163,-47.25,-25.75
164,-47.25,-25.5
165,-47.25,1.0
166,-47.25,1.25
167,-47.25,1.5
168,-47.25,2.0
169,-47.0,-28.5
170,-47.0,-28.25
171,-47.0,-28.0
172,-47.0,-27.75
173,-47.0,-27.5
174,-47.0,-27.25
175,-47.0,-27.0
176,-47.0,-26.75
177,-47.0,-26.5
178,-47.0,-26.25
179,-47.0,-26.0
180,-47.0,-25.5
181,-47.0,-25.25
182,-47.0,1.0
183,-47.0,1.5
184,-47.0,1.75
185,-46.75,-28.25
186,-46.75,-28.0
187,-46.75,-27.75
188,-46.75,-27.5
189,-46.75,-27.25
190,-46.75,-27.0
191,-46.75,-26.75
192,-46.75,-26.5
193,-46.75,-26.25
194,-46.75,-26.0
