lat,lon
5.25000,-50.75000
5.00000,-51.00000
5.00000,-50.75000
4.75000,-51.25000
4.75000,-51.00000
4.75000,-50.75000
4.75000,-50.50000
4.50000,-51.00000
4.50000,-50.75000
4.50000,-50.50000
4.50000,-50.25000
4.50000,-50.00000
4.25000,-50.75000
4.25000,-50.50000
4.25000,-50.25000
4.25000,-49.75000
4.00000,-50.25000
4.00000,-50.00000
4.00000,-49.75000
4.00000,-48.75000
4.00000,-48.50000
3.75000,-50.50000
3.75000,-50.25000
3.75000,-50.00000
3.75000,-49.75000
3.75000,-49.50000
3.75000,-49.25000
3.75000,-49.00000
3.75000,-48.75000
3.75000,-48.50000
3.75000,-48.25000
3.50000,-50.00000
3.50000,-49.75000
3.50000,-49.50000
3.50000,-49.25000
3.50000,-49.00000
3.50000,-48.50000
3.50000,-48.25000
3.25000,-50.00000
3.25000,-49.75000
3.25000,-49.50000
3.25000,-49.25000
3.25000,-49.00000
3.25000,-48.75000
3.25000,-48.50000
3.25000,-48.25000
3.25000,-48.00000
3.00000,-49.75000
3.00000,-49.50000
3.00000,-49.25000
3.00000,-49.00000
3.00000,-48.75000
3.00000,-48.50000
3.00000,-48.25000
3.00000,-48.00000
3.00000,-47.75000
2.75000,-49.75000
2.75000,-49.50000
2.75000,-49.25000
2.75000,-49.00000
2.75000,-48.75000
2.75000,-48.50000
2.75000,-48.25000
2.75000,-48.00000
2.75000,-47.75000
2.50000,-49.75000
2.50000,-49.50000
2.50000,-49.25000
2.50000,-49.00000
2.50000,-48.75000
2.50000,-48.50000
2.50000,-48.25000
2.50000,-48.00000
2.50000,-47.75000
2.50000,-47.50000
2.25000,-49.25000
2.25000,-49.00000
2.25000,-48.75000
2.25000,-48.50000
2.25000,-48.25000
2.25000,-48.00000
2.25000,-47.75000
2.25000,-47.50000
2.00000,-49.25000
2.00000,-49.00000
2.00000,-48.75000
2.00000,-48.50000
2.00000,-48.25000
2.00000,-48.00000
2.00000,-47.75000
2.00000,-47.50000
2.00000,-47.25000
1.75000,-49.50000
1.75000,-49.25000
1.75000,-49.00000
1.75000,-48.75000
1.75000,-48.50000
1.75000,-48.00000
1.75000,-47.50000
1.75000,-47.25000
1.75000,-47.00000
1.50000,-49.50000
1.50000,-49.25000
1.50000,-49.00000
1.50000,-48.75000
1.50000,-48.50000
1.50000,-48.25000
1.50000,-48.00000
1.50000,-47.75000
1.50000,-47.50000
1.50000,-47.25000
1.50000,-47.00000
1.50000,-46.75000
1.25000,-49.50000
1.25000,-49.00000
1.25000,-48.75000
1.25000,-48.50000
1.25000,-48.25000
1.25000,-48.00000
1.25000,-47.75000
1.25000,-47.50000
1.25000,-47.25000
1.25000,-47.00000
1.25000,-46.75000
1.25000,-46.50000
1.00000,-49.50000
1.00000,-49.25000
1.00000,-49.00000
1.00000,-48.75000
1.00000,-48.50000
1.00000,-48.25000
1.00000,-48.00000
1.00000,-47.75000
1.00000,-47.50000
1.00000,-47.25000
1.00000,-47.00000
1.00000,-46.75000
1.00000,-46.50000
1.00000,-46.25000
0.75000,-49.75000
0.75000,-49.50000
0.75000,-49.25000
0.75000,-49.00000
0.75000,-48.75000
0.75000,-48.50000
0.75000,-48.25000
0.75000,-48.00000
0.75000,-47.75000
0.75000,-47.50000
0.75000,-47.25000
0.75000,-47.00000
0.75000,-46.75000
0.75000,-46.50000
0.75000,-46.25000
0.75000,-46.00000
0.50000,-49.50000
0.50000,-49.25000
0.50000,-49.00000
0.50000,-48.75000
0.50000,-48.50000
0.50000,-48.25000
0.50000,-48.00000
0.50000,-47.75000
0.50000,-47.50000
0.50000,-47.25000
0.50000,-47.00000
0.50000,-46.75000
0.50000,-46.50000
0.50000,-46.25000
0.50000,-46.00000
0.50000,-45.75000
0.50000,-45.50000
0.25000,-49.25000
0.25000,-49.00000
0.25000,-48.75000
0.25000,-48.50000
0.25000,-48.25000
0.25000,-48.00000
0.25000,-47.75000
0.25000,-47.50000
0.25000,-47.25000
0.25000,-47.00000
0.25000,-46.75000
0.25000,-46.50000
0.25000,-46.25000
0.25000,-46.00000
0.25000,-45.75000
0.25000,-45.50000
0.25000,-45.25000
0.25000,-45.00000
0.00000,-48.75000
0.00000,-48.50000
0.00000,-48.25000
0.00000,-48.00000
0.00000,-47.75000
0.00000,-47.50000
0.00000,-47.25000
0.00000,-47.00000
0.00000,-46.75000
0.00000,-46.50000
0.00000,-46.25000
0.00000,-46.00000
0.00000,-45.75000
0.00000,-45.50000
0.00000,-45.25000
0.00000,-45.00000
0.00000,-44.75000
0.00000,-44.50000
0.00000,-44.25000
-0.25000,-48.00000
-0.25000,-47.75000
-0.25000,-47.50000
-0.25000,-47.25000
-0.25000,-47.00000
-0.25000,-46.75000
-0.25000,-46.50000
-0.25000,-46.25000
-0.25000,-46.00000
-0.25000,-45.75000
-0.25000,-45.50000
-0.25000,-45.25000
-0.25000,-45.00000
-0.25000,-44.75000
-0.25000,-44.50000
-0.25000,-44.25000
-0.50000,-47.00000
-0.50000,-46.75000
-0.50000,-46.50000
-0.50000,-46.25000
-0.50000,-46.00000
-0.50000,-45.75000
-0.50000,-45.50000
-0.50000,-45.25000
-0.50000,-45.00000
-0.50000,-44.75000
-0.50000,-44.50000
-0.50000,-44.25000
-0.50000,-44.00000
-0.75000,-46.00000
-0.75000,-45.75000
-0.75000,-45.50000
-0.75000,-45.25000
-0.75000,-45.00000
-0.75000,-44.75000
-0.75000,-44.50000
-0.75000,-44.25000
-0.75000,-44.00000
-0.75000,-43.75000
-1.00000,-45.25000
-1.00000,-45.00000
-1.00000,-44.75000
-1.00000,-44.50000
-1.00000,-44.25000
-1.00000,-44.00000
-1.00000,-43.75000
-1.00000,-43.50000
-1.25000,-44.50000
-1.25000,-44.25000
-1.25000,-44.00000
-1.25000,-43.75000
-1.25000,-43.50000
-1.50000,-44.50000
-1.50000,-44.25000
-1.50000,-44.00000
-1.50000,-43.75000
-1.50000,-43.50000
-1.50000,-38.75000
-1.75000,-44.25000
-1.75000,-44.00000
-1.75000,-43.75000
-1.75000,-43.50000
-2.00000,-44.25000
-2.00000,-44.00000
-2.00000,-43.75000
-2.00000,-43.50000
-2.00000,-43.00000
-2.00000,-42.75000
-2.00000,-42.50000
-2.00000,-42.25000
-2.00000,-41.00000
-2.25000,-42.75000
-2.25000,-42.50000
-2.25000,-42.25000
-2.25000,-42.00000
-2.25000,-41.75000
-2.25000,-41.50000
-2.25000,-41.25000
-2.25000,-41.00000
-2.25000,-40.75000
-2.25000,-40.50000
-2.25000,-40.25000
-2.25000,-40.00000
-2.25000,-39.75000
-2.25000,-38.25000
-2.50000,-42.50000
-2.50000,-42.25000
-2.50000,-42.00000
-2.50000,-41.75000
-2.50000,-41.50000
-2.50000,-41.25000
-2.50000,-41.00000
-2.50000,-40.75000
-2.50000,-40.50000
-2.50000,-40.25000
-2.50000,-40.00000
-2.50000,-39.75000
-2.50000,-39.50000
-2.75000,-39.75000
-2.75000,-39.50000
-3.00000,-37.75000
-3.25000,-38.25000
-3.25000,-37.50000
-3.50000,-38.25000
-3.75000,-38.00000
-3.75000,-33.25000
-4.00000,-38.00000
-4.00000,-37.75000
-4.00000,-37.50000
-4.00000,-36.25000
-4.00000,-36.00000
-4.25000,-37.50000
-4.25000,-37.25000
-4.25000,-33.25000
-4.50000,-37.25000
-4.75000,-36.25000
-4.75000,-35.75000
-4.75000,-35.50000
-4.75000,-35.25000
-5.00000,-35.25000
-5.00000,-35.00000
-5.25000,-35.00000
-5.50000,-35.00000
-5.75000,-35.00000
-6.50000,-34.75000
-7.00000,-34.50000
-7.25000,-34.50000
-7.50000,-34.50000
-7.75000,-34.50000
-8.00000,-34.50000
