,lon,lat
0,-53.0,-33.75
1,-53.0,-33.5
2,-53.0,-32.75
3,-52.75,-34.0
4,-52.75,-33.75
5,-52.75,-33.5
6,-52.75,-33.25
7,-52.75,-32.75
8,-52.75,-32.5
9,-52.5,-34.25
10,-52.5,-34.0
11,-52.5,-33.75
12,-52.5,-33.5
13,-52.5,-33.25
14,-52.5,-33.0
15,-52.25,-34.25
16,-52.25,-34.0
17,-52.25,-33.75
18,-52.25,-33.5
19,-52.25,-33.25
20,-52.25,-33.0
21,-52.25,-32.75
22,-52.25,-32.5
23,-52.0,-34.5
24,-52.0,-34.25
25,-52.0,-34.0
26,-52.0,-33.75
27,-52.0,-33.5
28,-52.0,-33.25
29,-52.0,-33.0
30,-52.0,-32.75
31,-52.0,-32.5
32,-52.0,-32.25
33,-52.0,-31.75
34,-51.75,-34.75
35,-51.75,-34.5
36,-51.75,-34.25
37,-51.75,-34.0
38,-51.75,-33.75
39,-51.75,-33.5
40,-51.75,-33.25
41,-51.75,-33.0
42,-51.75,-32.75
43,-51.75,-32.5
44,-51.75,-32.25
45,-51.75,-32.0
46,-51.75,-31.75
47,-51.75,-31.5
48,-51.75,-31.25
49,-51.75,-27.5
50,-51.75,-21.0
51,-51.75,4.0
52,-51.5,-34.75
53,-51.5,-34.5
54,-51.5,-34.25
55,-51.5,-34.0
56,-51.5,-33.75
57,-51.5,-33.5
58,-51.5,-33.25
59,-51.5,-33.0
60,-51.5,-32.75
61,-51.5,-32.5
62,-51.5,-32.25
63,-51.5,-32.0
64,-51.5,-31.75
65,-51.5,-31.5
66,-51.5,-31.25
67,-51.5,4.5
68,-51.25,-35.0
69,-51.25,-34.75
70,-51.25,-34.5
71,-51.25,-34.25
72,-51.25,-34.0
73,-51.25,-33.75
74,-51.25,-33.5
75,-51.25,-33.25
76,-51.25,-33.0
77,-51.25,-32.75
78,-51.25,-32.5
79,-51.25,-32.25
80,-51.25,-32.0
81,-51.25,-31.75
82,-51.25,-31.5
83,-51.25,-31.25
84,-51.25,-31.0
85,-51.25,-30.75
86,-51.25,-30.5
87,-51.25,-30.25
88,-51.25,-27.75
89,-51.25,4.25
90,-51.25,4.5
91,-51.25,4.75
92,-51.0,-35.25
93,-51.0,-35.0
94,-51.0,-34.75
95,-51.0,-34.5
96,-51.0,-34.25
97,-51.0,-34.0
98,-51.0,-33.75
99,-51.0,-33.5
100,-51.0,-33.25
101,-51.0,-33.0
102,-51.0,-32.75
103,-51.0,-32.5
104,-51.0,-32.25
105,-51.0,-32.0
106,-51.0,-31.75
107,-51.0,-31.5
108,-51.0,-30.75
109,-51.0,-30.5
110,-51.0,3.5
111,-51.0,3.75
112,-51.0,4.0
113,-51.0,4.25
114,-51.0,4.5
115,-51.0,4.75
116,-51.0,5.0
117,-50.75,-35.25
118,-50.75,-35.0
119,-50.75,-34.75
120,-50.75,-34.5
121,-50.75,-34.25
122,-50.75,-34.0
123,-50.75,-33.75
124,-50.75,-33.5
125,-50.75,-33.25
126,-50.75,-33.0
127,-50.75,-32.75
128,-50.75,-32.5
129,-50.75,-32.25
130,-50.75,-32.0
131,-50.75,-31.75
132,-50.75,-31.5
133,-50.75,-31.25
134,-50.75,-30.75
