radiacao,frequencia,porcentagem
10,480282,0.5959351234482508
20,506119,0.6279937385629801
30,528981,0.6563609661340195
40,545413,0.6767498334005455
50,563660,0.6993907572693564
60,585725,0.7267690652194475
70,606440,0.7524722897463515
80,632628,0.7849664265511095
90,647357,0.8032422070993485
100,659703,0.8185611552050283
110,674382,0.8367748956264826
120,695348,0.8627895615898458
130,707407,0.8777523993677813
140,720236,0.8936706550982014
150,735600,0.912734345256606
170,765234,0.9495042875993662
200,805588,0.9995756331247673
210,821046,1.0187559587215271
220,835475,1.0366594985090578
230,842448,1.045311614590453
160,748188,0.9283535675759239
190,792730,0.983621394120812
180,776211,0.9631245770336807
240,851821,1.0569416567575143
260,867193,1.0760152733362045
250,859503,1.0664735018367166
270,869917,1.0793952194434353
280,877880,1.0892757300351676
290,883456,1.0961944449741983
300,887121,1.1007419862675172
310,891369,1.1060129154391458
320,897496,1.1136153125753439
350,911446,1.130924507948277
340,904546,1.1223629704519875
330,904456,1.122251298223775
360,912060,1.1316863607051932
370,917243,1.138117440247696
380,918783,1.1400282761526648
390,927512,1.1508592414867391
400,933499,1.1582879262679397
420,944033,1.1713585401789417
430,948129,1.176440867365145
410,938115,1.164015470772704
440,952517,1.181885508891771
450,951319,1.1803990274540093
460,953097,1.1826051743624735
470,948324,1.1766828238596054
480,949576,1.1782363086342944
490,947293,1.1754035564453047
500,942653,1.169646232679684
510,947577,1.1757559443654417
520,944394,1.1718064698943276
530,945199,1.1728053159355611
540,946465,1.1743761719457502
550,947529,1.1756963858437286
560,944281,1.171666259207794
570,947216,1.1753080146500563
600,952329,1.1816522380150603
580,947937,1.1762026332782918
590,950139,1.1789348804618902
610,951322,1.1804027498616163
620,955654,1.1857779064462435
630,953749,1.183414177615746
640,957417,1.187965441316672
650,951973,1.1812105123123533
660,955283,1.1853175687055009
670,953559,1.183178425133964
690,953428,1.1830158800017883
680,952329,1.1816522380150603
700,947704,1.175913526287475
710,947619,1.175808058071941
720,941604,1.168344630819741
730,935866,1.1612249058699278
750,918760,1.139999737694344
740,925372,1.1482039240603537
760,910131,1.1292928526138393
770,896311,1.1121449615705463
780,884628,1.0976486655460316
790,867844,1.0768230357869413
800,853800,1.0593972049756528
810,833225,1.033867692803746
820,816787,1.013471380722006
830,795567,0.9871415509145763
840,774572,0.9610909016776779
860,725355,0.9000223232784197
870,697971,0.8660441866409715
850,750985,0.9318240922682605
880,661704,0.8210440010789524
890,626332,0.7771543337863793
900,588376,0.7300584327415727
910,553212,0.6864268523764241
920,514704,0.6386460283319143
930,480808,0.5965877855820259
940,441723,0.5480910184744207
950,405191,0.5027620202404425
960,368031,0.45665379801404843
970,334836,0.4154653578416816
980,304804,0.3782015760897153
990,274347,0.340410453260079
1000,239226,0.29683222740396525
1010,207301,0.25721960645193
1020,174044,0.21595423652235013
1030,143671,0.17826734110571216
1040,118576,0.14712940147246784
1050,96870,0.1201965416326909
1060,76627,0.09507897590263452
1070,56545,0.07016117938082489
1080,37781,0.04687876060106013
1090,22479,0.027892000199868473
1100,10548,0.013087985146501743
1110,4216,0.005231223490486475
1120,1596,0.0019803208469678403
1130,613,0.0007606119543805051
1140,295,0.00036603674802977
1150,93,0.00011539463581955461
1170,3,3.7224076070824065e-06
1160,10,1.2408025356941357e-05
